Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,21993.359375,23397.089844,21883.820313,23360.779297,23360.779297,25822815800
2017-04-01,24236.560547,24717.439453,23723.869141,24615.130859,24615.130859,27864260500
2017-07-01,25654.769531,27324.380859,25199.859375,27323.990234,27323.990234,37177052800
2017-10-01,27884.210938,28798.779297,27737.380859,28245.539063,28245.539063,36453138400
2018-01-01,30028.289063,33484.078125,30028.289063,32887.269531,32887.269531,65422943900
2018-04-01,29927.880859,31094.109375,29518.689453,30808.449219,30808.449219,34848642500
2018-07-01,28617.000000,29083.400391,27745.849609,28583.009766,28583.009766,37645679300
2018-10-01,27716.160156,27716.160156,24540.630859,24979.689453,24979.689453,41220417100
2019-01-01,25824.439453,28010.900391,24896.869141,27942.470703,27942.470703,38581138000
2019-04-01,29383.720703,30280.119141,29383.720703,29699.109375,29699.109375,35432393100
2019-07-01,28904.039063,29007.980469,27701.439453,27777.750000,27777.750000,25833237300
2019-10-01,25901.470703,27027.560547,25521.949219,26906.720703,26906.720703,31528918300
2020-01-01,28249.369141,29174.919922,26295.490234,26312.630859,26312.630859,32702114800
2020-04-01,23365.900391,24855.470703,22756.130859,24643.589844,24643.589844,36255335600
2020-07-01,24563.570313,26782.619141,24526.910156,24595.349609,24595.349609,48701717400
2020-10-01,24039.390625,24970.589844,23674.519531,24107.419922,24107.419922,37826792700
2021-01-01,27087.130859,30191.160156,27079.240234,28283.710938,28283.710938,73416364000
2021-04-01,28594.550781,29405.119141,28274.269531,28724.880859,28724.880859,39149674800
2021-07-01,28859.019531,28859.019531,24748.839844,25961.029297,25961.029297,49244260800
2021-10-01,24478.679688,26234.939453,23681.439453,25377.240234,25377.240234,33219748700
2022-01-01,23510.539063,24982.029297,22709.599609,23802.259766,23802.259766,41535672300
2022-04-01,21693.099609,22523.640625,19665.490234,21089.390625,21089.390625,39456522400
2022-07-01,21690.679688,22198.509766,20050.050781,20156.509766,20156.509766,37726894300
