Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,21993.359375,22605.660156,21883.820313,22503.009766,22503.009766,5960676600
2017-01-08,22561.109375,22971.490234,22476.349609,22937.380859,22937.380859,7106660300
2017-01-15,22895.359375,23151.750000,22657.349609,22885.910156,22885.910156,6403922600
2017-01-22,22926.300781,23397.089844,22861.289063,23360.779297,23360.779297,6351556300
2017-01-29,23211.880859,23439.019531,22997.460938,23129.210938,23129.210938,3842115600
2017-02-05,23239.289063,23718.470703,23149.699219,23574.980469,23574.980469,10448583100
2017-02-12,23664.529297,24161.390625,23614.470703,24033.740234,24033.740234,13900647200
2017-02-19,24066.000000,24216.529297,23909.150391,23965.699219,23965.699219,9638665400
2017-02-26,23941.810547,24080.869141,23511.599609,23552.720703,23552.720703,9541879900
2017-03-05,23600.490234,23816.230469,23438.859375,23568.669922,23568.669922,7863989600
2017-03-12,23643.300781,24385.810547,23567.929688,24309.929688,24309.929688,10315180700
2017-03-19,24312.570313,24656.650391,24207.099609,24358.269531,24358.269531,9488174700
2017-03-26,24235.689453,24470.660156,24105.380859,24111.589844,24111.589844,8573612800
2017-04-02,24236.560547,24400.800781,23982.400391,24267.300781,24267.300781,8382052200
2017-04-09,24302.009766,24378.380859,23994.130859,24261.660156,24261.660156,5866179200
2017-04-16,24268.169922,24276.310547,23723.869141,24042.019531,24042.019531,5979909900
2017-04-23,24185.759766,24717.439453,23958.179688,24615.130859,24615.130859,7636119200
2017-04-30,24773.800781,24773.800781,24358.720703,24476.349609,24476.349609,5390161800
2017-05-07,24604.289063,25211.279297,24476.199219,25156.339844,25156.339844,8096604000
2017-05-14,25233.310547,25413.349609,25025.050781,25174.869141,25174.869141,8512818300
2017-05-21,25318.289063,25724.400391,25201.339844,25639.269531,25639.269531,7923725600
2017-05-28,25672.400391,25973.000000,25579.150391,25924.050781,25924.050781,8082891000
2017-06-04,25976.359375,26090.330078,25801.839844,26030.289063,26030.289063,9829024100
2017-06-11,25925.449219,25957.779297,25557.800781,25626.490234,25626.490234,7738478400
2017-06-18,25736.199219,26043.099609,25575.980469,25670.050781,25670.050781,6924114800
2017-06-25,25727.929688,25965.419922,25625.710938,25764.580078,25764.580078,7407403500
2017-07-02,25654.769531,25838.269531,25199.859375,25340.849609,25340.849609,8750235200
2017-07-09,25392.029297,26416.679688,25331.949219,26389.230469,26389.230469,10386385900
2017-07-16,26572.919922,26794.179688,26353.830078,26706.089844,26706.089844,7967334400
2017-07-23,26720.039063,27169.150391,26674.500000,26979.390625,26979.390625,8379883200
2017-07-30,27048.449219,27747.349609,27045.410156,27562.679688,27562.679688,9285833800
2017-08-06,27665.710938,27876.119141,26863.710938,26883.509766,26883.509766,10171332600
2017-08-13,27091.769531,27624.519531,26951.919922,27047.570313,27047.570313,9410313200
2017-08-20,27100.630859,27878.369141,27086.429688,27848.160156,27848.160156,10303113400
2017-08-27,27905.589844,28127.900391,27638.730469,27953.160156,27953.160156,11429668400
2017-09-03,27881.710938,27884.460938,27421.789063,27668.470703,27668.470703,7725756700
2017-09-10,27877.689453,28071.539063,27514.039063,27807.589844,27807.589844,7946737400
2017-09-17,27971.369141,28248.119141,27845.519531,27880.529297,27880.529297,7648894700
2017-09-24,27851.539063,27851.539063,27300.369141,27554.300781,27554.300781,8930715200
2017-10-01,27884.210938,28626.410156,27737.380859,28458.039063,28458.039063,7493868700
2017-10-08,28440.169922,28625.660156,28260.199219,28476.429688,28476.429688,8204587800
2017-10-15,28661.980469,28798.779297,28094.539063,28487.240234,28487.240234,8075308400
2017-10-22,28557.800781,28557.800781,28098.830078,28438.849609,28438.849609,8098891200
2017-10-29,28585.150391,28661.289063,28183.789063,28603.609375,28603.609375,10625007200
2017-11-05,28616.349609,29237.849609,28137.769531,29120.919922,29120.919922,9824919700
2017-11-12,29058.230469,29341.919922,28851.689453,29199.039063,29199.039063,9099111000
2017-11-19,29227.080078,30199.689453,29089.580078,29866.320313,29866.320313,10195850900
2017-11-26,29857.650391,29859.109375,29028.759766,29074.240234,29074.240234,9186674300
2017-12-03,28951.189453,29343.779297,28134.929688,28639.849609,28639.849609,9198537400
2017-12-10,28645.410156,29367.509766,28645.410156,28848.109375,28848.109375,10796613600
2017-12-17,28923.529297,29578.009766,28821.189453,29578.009766,29578.009766,7303373700
2017-12-24,29632.970703,29997.960938,29516.509766,29919.150391,29919.150391,4431178200
2017-12-31,30028.289063,30911.009766,30028.289063,30814.640625,30814.640625,10011302300
2018-01-07,30895.089844,31412.539063,30732.539063,31412.539063,31412.539063,10726665400
2018-01-14,31702.560547,32254.890625,31265.250000,32254.890625,32254.890625,16408574800
2018-01-21,32276.960938,33223.578125,32046.839844,33154.121094,33154.121094,18179932900
2018-01-28,33335.480469,33484.078125,32321.419922,32601.779297,32601.779297,15436960800
2018-02-04,31715.560547,32394.869141,29129.259766,29507.419922,29507.419922,21602942400
2018-02-11,29713.080078,31145.099609,29459.630859,31115.429688,31115.429688,10003928400
2018-02-18,31165.289063,31477.849609,30720.480469,31267.169922,31267.169922,8025783200
2018-02-25,31528.289063,31798.980469,30453.820313,30583.449219,30583.449219,12084499700
2018-03-04,30524.259766,30996.210938,29852.419922,30996.210938,30996.210938,9685425800
2018-03-11,31536.300781,31709.990234,31121.660156,31501.970703,31501.970703,9835037100
2018-03-18,31370.470703,31978.140625,29930.230469,30309.289063,30309.289063,11122750300
2018-03-25,30267.070313,30985.750000,29819.630859,30093.380859,30093.380859,8743495100
2018-04-01,29927.880859,30329.080078,29518.689453,29844.939453,29844.939453,5423009200
2018-04-08,30104.320313,31094.109375,29909.369141,30808.380859,30808.380859,9564180700
2018-04-15,30849.720703,30849.720703,29979.400391,30418.330078,30418.330078,9629281200
